Guam,USA,Port Moresby,Papua New Guinea,2764,0,0,0,0,
Guam,USA,Seoul,South Korea,12146,141905,89829,105319,126725,
Guam,USA,Sydney,Australia,11960,9774,405,0,0,
Guam,USA,Chuuk,Federated States of Micronesia,13995,15828,12937,10024,10078,
Guam,USA,Yap,Federated States of Micronesia,4728,6057,5376,5236,5910,
Geneva,Switzerland,Anchorage,USA,102,0,0,0,0,
Geneva,Switzerland,Washington,USA,4514,14966,0,3,44766,
Geneva,Switzerland,New York,USA,52935,68719,57479,53411,66582,
Geneva,Switzerland,Los Angeles,USA,15224,8512,0,0,1,
Guayaquil,Ecuador,New York,USA,8126,29765,25463,66607,124148,
Guayaquil,Ecuador,Miami,USA,53413,72252,63020,93964,95790,
Guaymas,Mexico,Tucson,USA,15541,10253,0,13,0,
Hamburg,West Germany,Atlanta,USA,9137,0,0,0,0,
Hamburg,West Germany,Dallas/Fort Worth,USA,202,0,0,0,0,
Hamburg,West Germany,New York,USA,14514,0,0,0,0,
Hamburg,West Germany,Miami,USA,4450,0,0,0,0,
Hamburg,West Germany,Phoenix,USA,2,0,0,0,0,
Havana,Cuba,Miami,USA,47821,35028,82707,63832,198482,
Hobart,Australia,Los Angeles,USA,62,0,0,0,0,
Helsinki,Finland,New York,USA,71676,111802,87978,72273,73337,
Helsinki,Finland,Los Angeles,USA,16238,0,0,0,5,
Helsinki,Finland,Miami,USA,18642,14705,0,7985,2236,
Hong Kong,Hong Kong,Dallas/Fort Worth,USA,89,0,0,0,0,
Hong Kong,Hong Kong,New York,USA,18119,13916,87318,132618,236688,
Hong Kong,Hong Kong,Los Angeles,USA,28590,253530,255628,261413,237120,
Hong Kong,Hong Kong,Chicago,USA,1169,0,93658,118796,100437,
Hong Kong,Hong Kong,Seattle,USA,89505,41444,0,0,2344,
Hong Kong,Hong Kong,San Francisco,USA,209554,260431,249265,271378,392589,
Hermosillo,Mexico,Tucson,USA,13395,4543,4142,5955,103,
Tokyo,Japan,Honolulu,USA,1066693,1189527,936180,922794,887592,
Honolulu,USA,Adelaide,Australia,678,427,0,0,0,
Honolulu,USA,Auckland,New Zealand,118420,43873,34970,26182,24244,
Honolulu,USA,Apia,Samoa,813,4477,2440,4362,1556,
Honolulu,USA,Akita,Japan,363,0,0,243,0,
Honolulu,USA,Biak,Indonesia,225,0,0,0,0,
Honolulu,USA,Bangkok,Thailand,2723,0,0,0,0,
Honolulu,USA,Brisbane,Australia,6169,1784,0,0,0,
Honolulu,USA,Jakarta,Indonesia,1421,4017,0,0,0,
Honolulu,USA,Cairns,Australia,23419,428,171,0,0,
Honolulu,USA,Sapporo,Japan,1685,56899,70196,4807,3028,
Honolulu,USA,Christmas Island,Kiribati,2211,82,1456,0,439,
Honolulu,USA,Denpasar,Indonesia,2520,4502,0,0,0,
Honolulu,USA,Frankfurt,West Germany,5353,0,0,0,0,
Honolulu,USA,Fukuoka,Japan,1000,145662,117175,60707,3486,
Honolulu,USA,Hong Kong,Hong Kong,3520,29,0,0,264,
Honolulu,USA,Tokyo,Japan,1123903,1220374,1001743,975976,923205,
Honolulu,USA,Kumamoto,Japan,740,577,858,819,351,
Honolulu,USA,Kosrae,Federated States of Micronesia,575,754,788,856,1119,
Honolulu,USA,Kuala Lumpur,Malaysia,2396,0,0,0,0,
Honolulu,USA,Kwajalein,Marshall Islands,5515,4892,4042,6122,3917,
Honolulu,USA,London,United Kingdom,14960,1291,14046,6131,819,
Honolulu,USA,Majuro,Marshall Islands,4882,5814,6303,6019,5288,
Honolulu,USA,Melbourne,Australia,45274,18737,0,0,0,
Honolulu,USA,Manila,Philippines,23489,23824,19285,29051,76937,
Honolulu,USA,Nadi,Fiji,24066,14832,14823,9240,7668,
Honolulu,USA,Nagoya,Japan,64432,200534,220480,168549,117305,
Honolulu,USA,Okinawa,Japan,1170,363,1776,0,0,
Honolulu,USA,Osaka,Japan,392017,464838,422017,381498,236441,
Honolulu,USA,Perth,Australia,821,59,0,0,0,
Honolulu,USA,Pohnpei,Federated States of Micronesia,1881,2224,1856,2589,3017,
Honolulu,USA,Papeete,French Polynesia,14593,10813,12435,9518,7781,
Honolulu,USA,Avarua,Cook Islands,3655,3661,2493,0,0,
Honolulu,USA,Seoul,South Korea,146073,170914,94671,49772,108962,
Honolulu,USA,Singapore,Singapore,7642,8,2,0,0,
Honolulu,USA,Sydney,Australia,156117,72783,97107,107565,122196,
Honolulu,USA,Chuuk,Federated States of Micronesia,943,1022,1480,2233,1814,
Honolulu,USA,Taipei,Taiwan,22899,75720,54782,49930,25425,
Honolulu,USA,Edmonton,Canada,11347,918,2787,0,0,
Honolulu,USA,Vancouver,Canada,127809,149044,128999,110822,111054,
Honolulu,USA,Winnipeg,Canada,7491,2821,1443,0,0,
Honolulu,USA,Calgary,Canada,17692,7963,17320,552,9929,
Honolulu,USA,Toronto,Canada,30483,42543,44939,336,56,
Houston,USA,Grand Cayman,Cayman Islands,1618,13388,13551,9645,25005,
Houston,USA,Edmonton,Canada,1468,775,198,19489,37307,
Houston,USA,Calgary,Canada,8382,11955,88077,104704,153075,
Harlingen/San Benito,USA,Toronto,Canada,44,0,0,0,0,
Huntsville,USA,Ottawa,Canada,10,0,0,2,62,
Santa Cruz/Huatulco,Mexico,Houston,USA,116,501,0,3530,6757,
Santa Cruz/Huatulco,Mexico,New York,USA,2071,2237,2868,0,0,
Santa Cruz/Huatulco,Mexico,Los Angeles,USA,2958,89,0,0,0,
Santa Cruz/Huatulco,Mexico,Chicago,USA,2322,4226,5436,3193,3506,
Washington,USA,Caracas,Venezuela,875,844,53,158,0,
Washington,USA,Paris,France,93330,144644,275632,264613,231932,
Washington,USA,Cancun,Mexico,30035,6532,9110,42300,63195,
Washington,USA,Dhahran,Saudi Arabia,163,476,0,0,0,
Washington,USA,Frankfurt,West Germany,135910,0,0,0,0,
Washington,USA,Geneva,Switzerland,5159,14118,0,94,45369,
Washington,USA,Jeddah,Saudi Arabia,2376,3281,4793,3958,10111,
Washington,USA,London,United Kingdom,201758,326008,502040,507661,445547,
Washington,USA,Mexico City,Mexico,15324,27176,32502,41799,32654,
Washington,USA,Marseille,France,58,0,0,0,0,
Washington,USA,Mazatlan,Mexico,2184,0,0,0,0,
Washington,USA,Nassau,The Bahamas,3483,754,156,24450,25117,
Washington,USA,Tokyo,Japan,70889,55948,83342,67916,125956,
Washington,USA,Riyadh,Saudi Arabia,3120,5842,8142,2845,10252,
Washington,USA,Santo Domingo,Dominican Republic,191,0,0,696,218,
Washington,USA,Seoul,South Korea,1866,4760,44045,56327,72030,
Washington,USA,Moscow,U.S.S.R.,13345,0,0,0,0,
Washington,USA,Edmonton,Canada,416,74,86,49,15,
Washington,USA,Vancouver,Canada,17,1017,13191,330,718,
Houston,USA,Acapulco,Mexico,28915,29314,38829,44376,31024,
Houston,USA,Amsterdam,Netherlands,53825,76753,89059,188541,143384,
Houston,USA,Aruba,Aruba,4868,0,8059,10339,6730,
Houston,USA,Belize City,Belize,46418,38755,72065,74380,64888,
Houston,USA,Caracas,Venezuela,8314,1981,30727,31456,40361,
Houston,USA,Paris,France,16955,94861,153228,160194,135437,
Houston,USA,Cancun,Mexico,126706,146627,209052,229025,329145,
Houston,USA,Cozumel,Mexico,36372,51319,62071,52122,69392,
Houston,USA,Frankfurt,West Germany,14746,0,0,0,0,
Houston,USA,Guadalajara,Mexico,29528,48822,88395,89679,107710,
Houston,USA,Guatemala City,Guatemala,31052,39750,86162,84090,115486,
Houston,USA,London,United Kingdom,138319,136145,238772,243186,262673,
Houston,USA,Montego Bay,Jamaica,4657,4860,8548,22450,21196,
Houston,USA,Mexico City,Mexico,188953,230378,314320,320807,308249,
Houston,USA,Monterrey,Mexico,68266,65755,104272,136668,133745,
Houston,USA,Tokyo,Japan,2101,0,68300,75463,84452,
Houston,USA,Puerto Vallarta,Mexico,40014,37690,64047,88219,86532,
Houston,USA,San Salvador,El Salvador,19707,47795,96366,89046,109747,
Houston,USA,San Pedro Sula,Honduras,316,18061,40320,42756,41068,
Houston,USA,Tegucigalpa,Honduras,18425,14710,32002,32215,33186,
Houston,USA,Montreal,Canada,3317,5082,848,852,16927,
Houston,USA,Toronto,Canada,15794,51729,104306,96605,104056,
Houston,USA,Ixtapa/Zihuatanejo,Mexico,8547,835,15212,23205,23485,
Indianapolis,USA,Acapulco,Mexico,274,87,420,1053,326,
Indianapolis,USA,Cancun,Mexico,6744,10685,19525,8273,6363,
Indianapolis,USA,Cozumel,Mexico,392,145,764,314,0,
Indianapolis,USA,Freeport,The Bahamas,2802,543,26,0,0,
Indianapolis,USA,Guatemala City,Guatemala,122,0,0,0,0,
Indianapolis,USA,Santa Cruz/Huatulco,Mexico,163,0,167,0,80,
Indianapolis,USA,Montego Bay,Jamaica,2033,4248,760,338,0,
Indianapolis,USA,St. Kitts,Saint Kitts and Nevis,782,0,330,254,0,
Indianapolis,USA,Philipsburg,Netherlands Antilles,805,643,953,285,0,
Indianapolis,USA,Montreal,Canada,772,968,592,423,10,
Indianapolis,USA,Vancouver,Canada,275,234,478,85,1,
Indianapolis,USA,Winnipeg,Canada,45,24,28,42,21,
Indianapolis,USA,Toronto,Canada,1610,35,548,11467,12134,
Indianapolis,USA,Ixtapa/Zihuatanejo,Mexico,325,557,530,312,0,
Nauru,Nauru,Guam,USA,553,935,1465,0,0,
Iquitos,Peru,Miami,USA,1084,4376,140,118,117,
Islamabad,Pakistan,New York,USA,8560,10794,13979,9531,0,
Istanbul,Turkey,New York,USA,26529,62928,139629,131009,166052,
Jacksonville,USA,Paris,France,153,0,0,0,0,
Jacksonville,USA,Ottawa,Canada,54,0,0,0,0,
Jacksonville,USA,Toronto,Canada,189,147,254,147,185,
Jacksonville,USA,Zurich,Switzerland,14,0,0,0,1,
Jeddah,Saudi Arabia,Washington,USA,1987,3066,5004,3960,13139,
Jeddah,Saudi Arabia,New York,USA,18937,15365,19960,8694,15680,
New York,USA,Abidjan,Cote d'Ivoire,6292,7891,4443,0,0,
New York,USA,Acapulco,Mexico,7024,8194,0,3997,4,
New York,USA,Malaga,Spain,13078,2528,17086,371,14869,
New York,USA,Amman,Jordan,26931,36478,34811,44379,73286,
New York,USA,Amsterdam,Netherlands,239440,269265,251571,240279,252232,
New York,USA,St. Johns,Antigua and Barbuda,35688,21837,8586,2945,12698,
New York,USA,Stockholm,Sweden,76118,0,60755,0,28684,
New York,USA,Athens,Greece,136519,191998,157698,126616,72966,
New York,USA,Aruba,Aruba,56353,58212,66264,61200,117725,
New York,USA,Barranquilla,Colombia,3236,2605,2,3009,3929,
